Date,Fund1,Fund2,Fund3
04/01/2010,1117.69995117188,5500.2998046875,1132.98999023438
05/01/2010,1118.09997558594,5522.5,1136.52001953125
06/01/2010,1135.90002441406,5530,1137.14001464844
07/01/2010,1133.09997558594,5526.7001953125,1141.68994140625
08/01/2010,1138.19995117188,5534.2001953125,1144.97998046875
11/01/2010,1150.69995117188,5538.10009765625,1146.97998046875
12/01/2010,1128.90002441406,5498.7001953125,1136.21997070313
13/01/2010,1136.40002441406,5473.5,1145.68005371094
14/01/2010,1142.59997558594,5498.2001953125,1148.4599609375
15/01/2010,1130.09997558594,5455.39990234375,1136.03002929688
18/01/2010,,5494.39990234375,
19/01/2010,1139.69995117188,5513.10009765625,1150.22998046875
20/01/2010,1112.30004882813,5420.7998046875,1138.0400390625
21/01/2010,1102.69995117188,5335.10009765625,1116.47998046875
22/01/2010,1089.19995117188,5303,1091.76000976563
25/01/2010,1095.19995117188,5260.2998046875,1096.78002929688
26/01/2010,1097.90002441406,5276.89990234375,1092.17004394531
27/01/2010,1084.40002441406,5217.5,1097.5
28/01/2010,1083.59997558594,5145.7001953125,1084.53002929688
29/01/2010,1083,5188.5,1073.86999511719
01/02/2010,1104.30004882813,5247.39990234375,1089.18994140625
02/02/2010,1117.40002441406,5283.2998046875,1103.31994628906
03/02/2010,1111.40002441406,5253.2001953125,1097.28002929688
04/02/2010,1062.40002441406,5139.2998046875,1063.10998535156
05/02/2010,1052.19995117188,5060.89990234375,1066.18994140625
08/02/2010,1065.69995117188,5092.2998046875,1056.73999023438
09/02/2010,1076.69995117187,5111.7998046875,1070.52001953125
10/02/2010,1075.80004882813,5132,1068.13000488281
11/02/2010,1094.19995117188,5161.5,1078.46997070312
12/02/2010,1089.5,5142.5,1075.51000976563
15/02/2010,,5167.5,
16/02/2010,1119.30004882813,5244.10009765625,1094.86999511719
17/02/2010,1119.5,5276.60009765625,1099.51000976563
18/02/2010,1118,5325.10009765625,1106.75
19/02/2010,1121.30004882813,5358.2001953125,1109.17004394531
22/02/2010,1112.59997558594,5352.10009765625,1108.01000976563
23/02/2010,1102.69995117188,5315.10009765625,1094.59997558594
24/02/2010,1096.5,5342.89990234375,1105.23999023438
25/02/2010,1107.80004882813,5278.2001953125,1102.93994140625
26/02/2010,1118.30004882813,5354.5,1104.48999023438
01/03/2010,1117.80004882813,5405.89990234375,1115.7099609375
02/03/2010,1136.90002441406,5484.10009765625,1118.31005859375
03/03/2010,1142.69995117188,5533.2001953125,1118.7900390625
04/03/2010,1132.59997558594,5527.2001953125,1122.96997070313
05/03/2010,1134.80004882813,5599.7998046875,1138.69995117188
08/03/2010,1123.59997558594,5606.7001953125,1138.5
09/03/2010,1122,5602.2998046875,1140.44995117188
10/03/2010,1107.80004882813,5640.60009765625,1145.60998535156
11/03/2010,1108,5617.2998046875,1150.23999023438
12/03/2010,1101.5,5625.7001953125,1149.98999023438
15/03/2010,1105.09997558594,5593.89990234375,1150.51000976563
16/03/2010,1122.19995117188,5620.39990234375,1159.4599609375
17/03/2010,1124,5644.60009765625,1166.2099609375
18/03/2010,1127.40002441406,5642.60009765625,1165.82995605469
